,Loss,Attack,Feature,ATE Mean value,ATE p-value,Random Cause Refuter Estimated Effect,Random Cause Refuter New Effect,Placebo Treatment Refuter,Placebo Treatment p_value,Subset Refuter,Subset Refuter p_value,ATE Random Cause Refuter Estimated Effect,ATE Random Cause Refuter New Effect,ATE Subset Refuter,ATE Subset Refuter p_value
93,mse,MemguardAcc,TrainAcc,0.018828688140187233,1.1770726329999707e-08,,,,,,,0.0,0.0,0.0,0.0
94,mse,MemguardAcc,TestAcc,0,0,,,,,,,0.0,0.0,0.0,0.0
95,mse,MemguardAcc,TrainLoss,-0.13319457257250622,0.0007302791037487393,,,,,,,0.0,0.0,0.0,0.0
96,mse,MemguardAcc,TestLoss,0.05666328623012973,6.201745167025352e-07,,,,,,,0.0,0.0,0.0,0.0
97,mse,MemguardAcc,TrainVar,0.0022992225810701816,0.9044413405620327,,,,,,,0.0,0.0,0.0,0.0
98,mse,MemguardAcc,TestVar,0,0,,,,,,,0.0,0.0,0.0,0.0
99,mse,MemguardAcc,LossDiff,0.1278125548672051,0.006815235622565862,,,,,,,0.0,0.0,0.0,0.0
100,mse,MemguardAcc,AccDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
101,mse,MemguardAcc,NumParams,0.04688303622282197,0.15031364641330805,,,,,,,0.0,0.0,0.0,0.0
102,mse,MemguardAcc,TrainSize,-0.03707297743908855,0.009669131261129683,,,,,,,0.0,0.0,0.0,0.0
103,mse,MemguardAcc,CentroidDistance.sorted_3.,0.09033950503203025,0.9283095316344672,,,,,,,0.0,0.0,0.0,0.0
104,mse,Oak17Acc,TrainBias2,0.6174204240551227,1.2800641533350568e-05,,,,,,,0.0,0.0,0.0,0.0
105,mse,Oak17Acc,TestBias2,0.19602342248771343,0.239106308586605,,,,,,,0.0,0.0,0.0,0.0
106,mse,Oak17Acc,TrainAcc,0.17765366705528185,1.5278838074958705e-31,,,,,,,0.0,0.0,0.0,0.0
107,mse,Oak17Acc,TestAcc,0.0005375451105600337,0.7086042901743744,,,,,,,0.0,0.0,0.0,0.0
